PruningDensity,PruningType,Accuracy,NonZeros,TimeStamp,CompressionTime
0.1,neuron,97,37195,07/03/2023 15:25:05,1351.389
0.099,neuron,98,36410,07/03/2023 15:47:39,1343.435
0.098,neuron,97,35625,07/03/2023 16:10:05,1350.589
0.097,neuron,97,35625,07/03/2023 16:32:38,1346.917
0.096,neuron,97,34840,07/03/2023 16:55:07,1350.845
0.095,neuron,97,34840,07/03/2023 17:17:41,1348.243
0.094,neuron,97,34055,07/03/2023 17:40:12,1340.904
0.093,neuron,97,34055,07/03/2023 18:02:35,1356.237
0.092,neuron,97,33270,07/03/2023 18:25:13,1359.503
0.091,neuron,97,33270,07/03/2023 18:47:57,1344.534
0.09,neuron,97,32485,07/03/2023 19:10:24,1354.31
0.089,neuron,97,32485,07/03/2023 19:33:01,1368.731
0.088,neuron,97,31700,07/03/2023 19:55:53,1358.484
0.087,neuron,97,31700,07/03/2023 20:18:35,1358.974
0.086,neuron,97,30915,07/03/2023 20:41:17,1358.546
0.085,neuron,97,30915,07/03/2023 21:22:47,1357.287
0.084,neuron,97,30130,07/03/2023 21:45:27,1372.671
0.083,neuron,97,30130,07/03/2023 22:08:22,1378.254
0.082,neuron,97,29345,07/03/2023 22:31:23,1380.014
0.081,neuron,97,29345,07/03/2023 22:54:26,1379.918
0.08,neuron,97,28560,07/03/2023 23:17:28,1370.511
0.079,neuron,97,28560,07/03/2023 23:40:21,1372.19
0.078,neuron,97,27775,08/03/2023 00:03:15,1380.045
0.077,neuron,97,27775,08/03/2023 00:26:18,1374.505
0.076,neuron,97,26990,08/03/2023 00:49:14,1366.758
0.075,neuron,97,26990,08/03/2023 01:12:03,1368.17
0.074,neuron,96,26205,08/03/2023 01:34:53,1372.997
0.073,neuron,97,26205,08/03/2023 01:57:49,1371.358
0.072,neuron,96,25420,08/03/2023 02:20:42,1382.864
0.071,neuron,96,25420,08/03/2023 02:43:47,1352.535
0.07,neuron,96,24635,08/03/2023 03:06:22,1378.265
0.069,neuron,96,24635,08/03/2023 03:29:23,1377.879
0.068,neuron,96,23850,08/03/2023 03:52:23,1365.388
0.067,neuron,96,23850,08/03/2023 04:15:10,1376.351
0.066,neuron,95,23065,08/03/2023 04:38:09,1382.112
0.065,neuron,92,23065,08/03/2023 05:01:13,1388.075
0.064,neuron,95,22280,08/03/2023 05:24:23,1386.549
0.063,neuron,95,22280,08/03/2023 05:47:32,1371.397
0.062,neuron,93,21495,08/03/2023 06:10:25,1385.434
0.061,neuron,94,21495,08/03/2023 06:33:33,1377.589
0.06,neuron,93,20710,08/03/2023 06:56:33,1385.675
0.059,neuron,93,20710,08/03/2023 07:19:41,1390.234
0.058,neuron,94,19925,08/03/2023 07:42:53,1382.955
0.057,neuron,92,19925,08/03/2023 08:05:59,1393.11
0.056,neuron,87,19140,08/03/2023 08:29:14,1378.666
0.055,neuron,92,19140,08/03/2023 08:52:15,1376.756
0.054,neuron,87,18355,08/03/2023 09:15:15,1377.688
0.053,neuron,84,18355,08/03/2023 09:38:14,1389.094
0.052,neuron,87,17570,08/03/2023 10:01:26,1398.33
0.051,neuron,86,17570,08/03/2023 10:24:47,1394.649
0.05,neuron,82,16785,08/03/2023 10:48:04,1395.788
0.049,neuron,74,16000,08/03/2023 11:11:22,1404.815
0.048,neuron,73,16000,08/03/2023 11:34:50,1390.536
0.047,neuron,65,15215,08/03/2023 11:58:16,1396.214
0.046,neuron,75,15215,08/03/2023 12:21:35,1388.537
0.045,neuron,74,14430,08/03/2023 12:44:46,1384.206
0.044,neuron,73,14430,08/03/2023 13:07:52,1380.655
0.043,neuron,73,13645,08/03/2023 13:30:55,1381.001
0.042,neuron,63,13645,08/03/2023 13:53:59,1380.802
0.041,neuron,56,12860,08/03/2023 14:17:03,1396.275
0.04,neuron,64,12860,08/03/2023 14:40:21,1363.876
0.039,neuron,62,12075,08/03/2023 15:03:19,1385.761
0.038,neuron,72,12075,08/03/2023 15:26:28,1390.966
0.037,neuron,71,11290,08/03/2023 15:49:41,1384.721
0.036,neuron,67,11290,08/03/2023 16:12:48,1390.822
0.035,neuron,65,10505,08/03/2023 16:36:01,1414.542
0.034,neuron,55,10505,08/03/2023 16:59:39,1384.178
0.033,neuron,59,9720,08/03/2023 17:22:46,1388.557
0.032,neuron,55,9720,08/03/2023 17:45:58,1385.745
0.031,neuron,50,8935,08/03/2023 18:09:06,1381.15
0.03,neuron,47,8935,08/03/2023 18:32:09,1420.075
0.029,neuron,39,8150,08/03/2023 18:55:52,1396.755
0.028,neuron,40,8150,08/03/2023 19:19:12,1388.212
0.027,neuron,30,7365,08/03/2023 19:42:22,1381.696
0.026,neuron,38,7365,08/03/2023 20:05:26,1389.856
0.025,neuron,19,6580,08/03/2023 20:28:38,1387.097
0.024,neuron,17,6580,08/03/2023 20:52:23,1407.104
0.023,neuron,14,5795,08/03/2023 21:15:54,1383.967
0.022,neuron,15,5795,08/03/2023 21:39:01,1404.726
0.021,neuron,10,5010,08/03/2023 22:02:28,1386.671
0.02,neuron,10,5010,08/03/2023 22:25:37,1377.607
0.019,neuron,10,4509,08/03/2023 22:48:37,1391.986
0.018,neuron,10,4509,08/03/2023 23:12:20,1401.69
0.017,neuron,10,4008,08/03/2023 23:35:45,1386.037
0.016,neuron,10,4008,08/03/2023 23:58:53,1382.546
0.015,neuron,10,3507,09/03/2023 00:21:58,1371.419
0.014,neuron,10,3507,09/03/2023 00:44:52,1375.696
0.013,neuron,10,3006,09/03/2023 01:07:50,1390.852
0.012,neuron,10,3006,09/03/2023 01:31:03,1381.24
0.011,neuron,10,2505,09/03/2023 01:54:28,1383.555
0.01,neuron,10,2505,09/03/2023 02:17:35,1380.326
0.009,neuron,10,2004,09/03/2023 02:40:37,1395.665
0.008,neuron,10,2004,09/03/2023 03:03:55,1378.6
0.007,neuron,10,1503,09/03/2023 03:26:56,1379.151
0.006,neuron,10,1503,09/03/2023 03:49:58,1397.912
0.005,neuron,10,1002,09/03/2023 04:13:18,1396.84
0.004,neuron,10,1002,09/03/2023 04:36:45,1384.539
0.003,neuron,10,501,09/03/2023 04:59:52,1380.567
0.002,neuron,10,501,09/03/2023 05:22:55,1390.179
0.98,neuron,98,388875,03/04/2023 18:17:21,1326.84
0.96,neuron,98,381025,03/04/2023 18:39:31,1348.667
0.94,neuron,98,373175,03/04/2023 19:02:02,1353.897
0.92,neuron,98,365325,03/04/2023 19:24:38,1340.819
0.9,neuron,98,357475,03/04/2023 19:47:01,1346.619
0.88,neuron,98,348840,03/04/2023 20:09:30,1344.882
0.86,neuron,98,340990,03/04/2023 20:31:57,1329.869
0.84,neuron,98,333140,03/04/2023 20:54:09,1322.922
0.82,neuron,98,325290,03/04/2023 21:16:14,1329.215
0.8,neuron,98,317440,03/04/2023 21:38:26,1348.869
0.78,neuron,98,308805,03/04/2023 22:01:00,1336.473
0.76,neuron,98,300955,03/04/2023 22:23:18,1326.68
0.74,neuron,98,293105,03/04/2023 22:45:27,1349.028
0.72,neuron,98,285255,03/04/2023 23:07:59,1337.887
0.7,neuron,98,277405,03/04/2023 23:30:19,1344.399
0.68,neuron,98,268770,03/04/2023 23:52:45,1343.714
0.66,neuron,98,260920,04/04/2023 00:15:11,1352.358
0.64,neuron,98,253070,04/04/2023 00:37:46,1348.398
0.62,neuron,98,245220,04/04/2023 01:00:16,1342.206
0.6,neuron,98,237370,04/04/2023 01:22:41,1339.24
0.58,neuron,98,228735,04/04/2023 01:45:02,1340.747
0.56,neuron,98,220885,04/04/2023 02:07:26,1337.447
0.54,neuron,98,213035,04/04/2023 02:29:45,1361.766
0.52,neuron,98,205185,04/04/2023 02:52:30,1346.808
0.5,neuron,98,197335,04/04/2023 03:14:59,1330.287
0.48,neuron,98,188700,04/04/2023 03:37:11,1340.027
0.46,neuron,98,180850,04/04/2023 03:59:34,1319.782
0.44,neuron,98,173000,04/04/2023 04:21:35,1328.543
0.42,neuron,98,165150,04/04/2023 04:43:46,1336.855
0.4,neuron,98,157300,04/04/2023 05:06:05,1343.157
0.38,neuron,98,148665,04/04/2023 05:28:31,1346.671
0.36,neuron,98,140815,04/04/2023 05:51:00,1344.256
0.34,neuron,98,132965,04/04/2023 06:13:26,1342.831
0.32,neuron,98,125115,04/04/2023 06:35:51,1343.221
0.3,neuron,98,117265,04/04/2023 06:58:16,1332.163
0.28,neuron,98,108630,04/04/2023 07:20:30,1325.55
0.26,neuron,98,100780,04/04/2023 07:42:38,1319.491
0.24,neuron,98,92930,04/04/2023 08:04:39,1346.057
0.22,neuron,98,85080,04/04/2023 08:27:07,1348.332
0.2,neuron,98,77230,04/04/2023 08:49:38,1335.257
0.18,neuron,98,68595,04/04/2023 09:11:56,1341.657
0.16,neuron,98,60745,04/04/2023 09:34:20,1334.222
0.14,neuron,98,52895,04/04/2023 09:56:36,1333.319
0.12,neuron,98,45045,04/04/2023 10:18:52,1336.891
0.1,neuron,97,37195,04/04/2023 10:41:10,1334.099
